J1,J2,J3,J4,J5,J6,empty
8802222.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802224.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802226.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802229.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802231.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802233.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
8802251.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802253.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802256.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802258.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802261.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802263.000,42.842,-4.468,94.314,-89.833,42.842,89.772,
8802266.000,42.820,-4.491,94.335,-89.831,42.820,89.769,
8802282.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802285.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802288.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802290.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802293.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802295.000,42.787,-4.524,94.366,-89.828,42.787,89.766,
8802313.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802315.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802317.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802320.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802322.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802324.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802326.000,42.677,-4.636,94.469,-89.819,42.678,89.754,
8802329.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802331.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802334.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802336.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802338.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802340.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802342.000,42.588,-4.726,94.553,-89.811,42.589,89.744,
8802345.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802347.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802349.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802352.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802354.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802356.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802357.000,42.474,-4.841,94.659,-89.801,42.475,89.730,
8802361.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802363.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802365.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802367.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802369.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802371.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802373.000,42.309,-5.007,94.813,-89.786,42.309,89.711,
8802377.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802380.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802382.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802384.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802387.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802389.000,42.083,-5.231,95.019,-89.765,42.084,89.683,
8802392.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802394.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802396.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802398.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802400.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802401.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802403.000,41.781,-5.527,95.290,-89.734,41.782,89.644,
8802407.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802409.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802411.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802414.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802416.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802418.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802420.000,41.410,-5.885,95.617,-89.695,41.411,89.594,
8802423.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802425.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802427.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802429.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802432.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802434.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802435.000,40.937,-6.333,96.022,-89.641,40.938,89.525,
8802438.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802440.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802441.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802443.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802445.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802448.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802450.000,40.344,-6.879,96.512,-89.568,40.346,89.433,
8802455.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802457.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802460.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802462.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802465.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802467.000,39.566,-7.575,97.130,-89.462,39.568,89.302,
8802485.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802487.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802489.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802491.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802493.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802495.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802497.000,37.512,-9.294,98.625,-89.129,37.518,88.902,
8802500.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802501.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802502.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802503.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802505.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802507.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802509.000,36.316,-10.224,99.415,-88.899,36.324,88.634,
8802516.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802518.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802520.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802522.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802524.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802526.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802527.000,34.975,-11.208,100.237,-88.611,34.987,88.305,
8802531.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802533.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802535.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802537.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802539.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802542.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802543.000,33.494,-12.228,101.073,-88.254,33.512,87.906,
8802547.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802549.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802551.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802553.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802555.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802558.000,31.770,-13.334,101.961,-87.783,31.796,87.393,
8802562.000,29.904,-14.438,102.830,-87.205,29.944,86.775,
8802563.000,29.904,-14.438,102.830,-87.205,29.944,86.775,
8802564.000,29.904,-14.438,102.830,-87.205,29.944,86.775,
8802565.000,29.904,-14.438,102.830,-87.205,29.944,86.775,
8802566.000,29.904,-14.438,102.830,-87.205,29.944,86.775,
8802579.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802581.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802584.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802587.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802590.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802592.000,27.906,-15.522,103.664,-86.496,27.963,86.035,
8802594.000,25.784,-16.570,104.454,-85.630,25.865,85.145,
8802611.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802613.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802615.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802618.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802620.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802622.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802623.000,23.545,-17.569,105.192,-84.564,23.658,84.069,
8802628.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802630.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802632.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802634.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802636.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802638.000,21.197,-18.507,105.872,-83.240,21.352,82.746,
8802642.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802644.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802646.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802648.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802651.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802652.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802654.000,18.746,-19.374,106.489,-81.563,18.959,81.086,
8802657.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802659.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802661.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802663.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802665.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802668.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802669.000,16.363,-20.116,107.008,-79.536,16.648,79.089,
8802673.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802674.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
