X,Y,Z,rX,rY,rZ,empty
8802340.000,430.000,296.948,400.000,0.000,89.999,89.999,
8802344.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802346.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802349.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802351.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802353.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802356.000,430.000,295.821,400.000,0.000,90.000,90.000,
8802361.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802364.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802366.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802368.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802371.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802373.000,430.000,294.194,400.000,0.000,89.999,89.999,
8802377.000,430.000,291.996,400.000,0.000,90.000,90.000,
8802380.000,430.000,291.996,400.000,0.000,90.000,90.000,
8802382.000,430.000,291.996,400.000,0.000,90.000,90.000,
8802385.000,430.000,291.996,400.000,0.000,90.000,90.000,
8802387.000,430.000,291.996,400.000,0.000,90.000,90.000,
8802392.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802395.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802397.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802400.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802402.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802404.000,430.000,289.070,400.000,0.000,89.999,89.999,
8802407.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802410.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802412.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802415.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802417.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802419.000,430.000,285.518,400.000,0.000,90.000,90.000,
8802423.000,430.000,281.046,400.000,0.000,90.000,90.000,
8802426.000,430.000,281.046,400.000,0.000,90.000,90.000,
8802428.000,430.000,281.046,400.000,0.000,90.000,90.000,
8802430.000,430.000,281.046,400.000,0.000,90.000,90.000,
8802433.000,430.000,281.046,400.000,0.000,90.000,90.000,
8802437.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802440.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802442.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802445.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802449.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802451.000,430.000,275.543,400.000,0.000,90.000,90.000,
8802455.000,430.000,268.459,400.000,0.000,90.000,90.000,
8802457.000,430.000,268.459,400.000,0.000,90.000,90.000,
8802461.000,430.000,268.459,400.000,0.000,90.000,90.000,
8802463.000,430.000,268.459,400.000,0.000,90.000,90.000,
8802466.000,430.000,268.459,400.000,0.000,90.000,90.000,
8802485.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802488.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802490.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802492.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802494.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802495.000,430.000,250.529,400.000,0.000,89.999,89.999,
8802500.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802501.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802502.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802504.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802506.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802508.000,430.000,240.552,400.000,0.000,89.999,89.999,
8802516.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802518.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802520.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802522.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802524.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802527.000,430.000,229.732,400.000,0.000,90.000,90.000,
8802532.000,430.000,218.208,400.000,0.000,89.999,89.999,
8802534.000,430.000,218.208,400.000,0.000,89.999,89.999,
8802536.000,430.000,218.208,400.000,0.000,89.999,89.999,
8802538.000,430.000,218.208,400.000,0.000,89.999,89.999,
8802541.000,430.000,218.208,400.000,0.000,89.999,89.999,
8802546.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802548.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802551.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802553.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802556.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802560.000,430.000,205.292,400.000,0.000,89.999,89.999,
8802578.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802581.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802584.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802587.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802591.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802593.000,430.000,178.077,400.000,0.000,90.000,90.000,
8802611.000,430.000,149.712,400.000,0.000,90.000,90.000,
8802613.000,430.000,149.712,400.000,0.000,90.000,90.000,
8802615.000,430.000,149.712,400.000,0.000,90.000,90.000,
8802618.000,430.000,149.712,400.000,0.000,90.000,90.000,
8802620.000,430.000,149.712,400.000,0.000,90.000,90.000,
8802626.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802628.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802630.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802633.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802635.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802637.000,430.000,135.276,400.000,0.000,90.000,90.000,
8802643.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802645.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802647.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802649.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802651.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802653.000,430.000,120.731,400.000,0.000,89.999,89.999,
8802658.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802660.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802662.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802664.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802666.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802669.000,430.000,107.025,400.000,0.000,89.999,89.999,
8802674.000,430.000,93.269,400.000,0.000,90.000,90.000,
8802676.000,430.000,93.269,400.000,0.000,90.000,90.000,
8802679.000,430.000,93.269,400.000,0.000,90.000,90.000,
8802681.000,430.000,93.269,400.000,0.000,90.000,90.000,
8802684.000,430.000,93.269,400.000,0.000,90.000,90.000,
8802688.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802691.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802693.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802697.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802699.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802702.000,430.000,78.557,400.000,0.000,90.000,90.000,
8802718.000,430.000,50.899,400.000,0.000,89.999,89.999,
8802719.000,430.000,50.899,400.000,0.000,89.999,89.999,
8802720.000,430.000,50.899,400.000,0.000,89.999,89.999,
